Sport,Bovada Names,VSIN Names,ESPN Names,Final Names
FOOT,Nebraska,Nebraska,Nebraska Cornhuskers,Nebraska
FOOT,Nevada,Nevada,Nevada Wolf Pack,Nevada
FOOT,New England Patriots,NE Patriots,New England Patriots,New England Patriots
FOOT,New Jersey Generals,NJ Generals,,New Jersey Generals
FOOT,New Mexico,New Mexico,New Mexico Lobos,New Mexico
FOOT,New Mexico State,New Mexico ST,New Mexico State Aggies,New Mexico State
FOOT,New Orleans Breakers,NO Breakers,,New Orleans Breakers
FOOT,New Orleans Saints,NO Saints,New Orleans Saints,New Orleans Saints
SOCC,New York City FC,New York City FC,New York City FC,New York City FC
FOOT,New York Giants,NY Giants,New York Giants,New York Giants
FOOT,New York Jets,NY Jets,New York Jets,New York Jets
BASK,New York Liberty,NY Liberty,New York Liberty,New York Liberty
BASE,New York Mets,NY Mets,New York Mets,New York Mets
SOCC,New York Red Bulls,New York Red Bulls,New York Red Bulls,New York Red Bulls
BASE,New York Yankees,NY Yankees,New York Yankees,New York Yankees
SOCC,Newcastle United,Newcastle,Newcastle United,Newcastle United
FOOT,NFC Conference,-,-,NFC Conference
FOOT,North Carolina,North Carolina,North Carolina Tar Heels,North Carolina
FOOT,North Texas,North Texas,North Texas Mean Green,North Texas
FOOT,Northern Illinois,Northern Illinois,Northern Illinois Huskies,Northern Illinois
FOOT,Northwestern,,Northwestern Wildcats,Northwestern
FOOT,Notre Dame,Notre Dame,Notre Dame Fighting Irish,Notre Dame
SOCC,Nottingham Forest,Nottingham Forest,Nottingham Forest,Nottingham Forest
ESPT,NS RedForce,,,NS RedForce
BASE,Oakland Athletics,OAK Athletics,Oakland Athletics,OAK Athletics
FOOT,Ohio,Ohio,Ohio Bobcats,Ohio
FOOT,Ohio State,Ohio ST,Ohio State Buckeyes,Ohio State
FOOT,Oklahoma ,Oklahoma,Oklahoma Sooners,Oklahoma 
ESPT,Oksavingsbank Brion,,,Oksavingsbank Brion
FOOT,Old Dominion,Old Dominion,Old Dominion Monarchs,Old Dominion
TABL,Oldrich Lzicar,,,Oldrich Lzicar
TABL,Oldrich Vrtal,,,Oldrich Vrtal
ESPT,OMG,,,OMG
TABL,Ondrej Kucirek,,,Ondrej Kucirek
TABL,Ondrej Mista,,,Ondrej Mista
TABL,Ondrej Paril,,,Ondrej Paril
TABL,Ondrej Pros,,,Ondrej Pros
TABL,Ondrej Svacha,,,Ondrej Svacha
FOOT,Oregon,,Oregon Ducks,Oregon
FOOT,Oregon State,Oregon ST,Oregon State Beavers,Oregon State
SOCC,Orlando City,Orlando City,Orlando City SC,Orlando City
SOCC,Osasuna,Osasuna,Osasuna,Osasuna
TABL,Oskar Spacek,,,Oskar Spacek
FOOT,Ottawa Redblacks,OTT REDBLACKS,,Ottawa Redblacks
TABL,Otto Jarkovsky,,,Otto Jarkovsky
TABL,Patrik Pycha,,,Patrik Pycha
TABL,Pavel Chvatal,,,Pavel Chvatal
TABL,Pavel Gireth,,,Pavel Gireth
TABL,Pavel Mozol,,,Pavel Mozol
TABL,Pavel Wawrosz,,,Pavel Wawrosz
FOOT,Penn State,Penn ST,Penn State Nittany Lions,Penn State
TABL,Petr Anton,,,Petr Anton
TABL,Petr Bradac,,,Petr Bradac
TABL,Petr Jochym,,,Petr Jochym
TABL,Petr Kmoch Jnr,,,Petr Kmoch Jnr
TABL,Petr Kmoch Snr,,,Petr Kmoch Snr
TABL,Petr Monik,,,Petr Monik
TABL,Petr Oliver Korp,,,Petr Oliver Korp
TABL,Petr Picek,,,Petr Picek
TABL,Petr Serak,,,Petr Serak
TABL,Petr Sudek,,,Petr Sudek
TABL,Petr Svec,,,Petr Svec
TABL,Petr Svoboda,,,Petr Svoboda
TABL,Petr Vicherek,,,Petr Vicherek
FOOT,Philadelphia Eagles,PHI Eagles,Philadelphia Eagles,Philadelphia Eagles
BASE,Philadelphia Phillies,PHI Phillies,Philadelphia Phillies,Philadelphia Phillies
FOOT,Philadelphia Stars,PHI Stars,,Philadelphia Stars
SOCC,Philadelphia Union,PHI Union,Philadelphia Union,Philadelphia Union
BASK,Phoenix Mercury,PHO Mercury,Phoenix Mercury,Phoenix Mercury
FOOT,Pittsburgh Maulers,PIT Maulers,,Pittsburgh Maulers
BASE,Pittsburgh Pirates,PIT Pirates,Pittsburgh Pirates,Pittsburgh Pirates
FOOT,Pittsburgh Steelers,PIT Steelers,Pittsburgh Steelers,Pittsburgh Steelers
SOCC,Portland Timbers,POR Timbers,Portland Timbers,Portland Timbers
FOOT,Purdue,Purdue,Purdue Boilermakers,Purdue
TABL,Radek Benes,,,Radek Benes
TABL,Radek Fnukal,,,Radek Fnukal
TABL,Radek Krcal,,,Radek Krcal
TABL,Radek Rose,,,Radek Rose
TABL,Radek Vosyka,,,Radek Vosyka
TABL,Radek Vranca,,,Radek Vranca
TABL,Radim Pavelka,,,Radim Pavelka
TABL,Radim Uhlar,,,Radim Uhlar
TABL,Radim Urbaniec,,,Radim Urbaniec
TABL,Radovan Polasek,,,Radovan Polasek
ESPT,Rare Atom,,,Rare Atom
SOCC,Real Betis,Real Betis,Real Betis,Real Betis
SOCC,Real Madrid,Real Madrid,Real Madrid,Real Madrid
SOCC,Real Salt Lake,Real Salt Lake,Real Salt Lake,Real Salt Lake
SOCC,Real Sociedad,Real Sociedad,Real Sociedad,Real Sociedad
TABL,Rene Kowal,,,Rene Kowal
FOOT,Rice,Rice,Rice Owls,Rice
TABL,Richard Macura,,,Richard Macura
TABL,Robin Pacha,,,Robin Pacha
TABL,Roman Barta,,,Roman Barta
TABL,Roman Hudeczek,,,Roman Hudeczek
TABL,Roman Laznicka,,,Roman Laznicka
TABL,Roman Polovka,,,Roman Polovka
TABL,Rostislav Hasmanda,,,Rostislav Hasmanda
TABL,Rostislav Niezgoda,,,Rostislav Niezgoda
TABL,Rostyslav Kliuchuk,,,Rostyslav Kliuchuk
ESPT,Royal Never Give Up,,,Royal Never Give Up
FOOT,Rutgers,,Rutgers Scarlet Knights,Rutgers
SOCC,Saint Louis City SC,St Louis City SC,St Louis City SC,Saint Louis City SC
SOCC,Salernitana,Salernitana,Salernitana,Salernitana
FOOT,Sam Houston State,Sam Houston,Sam Houston Bearkats,Sam Houston State
SOCC,Sampdoria,Sampdoria,Sampdoria,Sampdoria
BASE,San Diego Padres,SD Padres,San Diego Padres,San Diego Padres
FOOT,San Diego State,San Diego ST,San Diego State Aztecs,San Diego State
FOOT,San Francisco 49ers,SF 49ers,San Francisco 49ers,San Francisco 49ers
BASE,San Francisco Giants,SF Giants,San Francisco Giants,San Francisco Giants
SOCC,San Jose Earthquakes,SJ Earthquakes,San Jose Earthquakes,San Jose Earthquakes
FOOT,San Jose State,San Jose ST,San José State Spartans,San Jose State
FOOT,Saskatchewan Roughriders,SSK Roughriders,,Saskatchewan Roughriders
SOCC,Sassuolo,Sassuolo,Sassuolo,Sassuolo
BASE,Seattle Mariners,SEA Mariners,Seattle Mariners,Seattle Mariners
FOOT,Seattle Seahawks,SEA Seahawks,Seattle Seahawks,Seattle Seahawks
SOCC,Seattle Sounders,Seattle Sounders,Seattle Sounders FC,Seattle Sounders
BASK,Seattle Storm,SEA Storm,Seattle Storm,Seattle Storm
SOCC,Sevilla,Sevilla,Sevilla,Sevilla
TABL,Simon Kadavy,,,Simon Kadavy
FOOT,SMU,SMU,SMU Mustangs,SMU
FOOT,South Alabama,South Alabama,South Alabama Jaguars,South Alabama
FOOT,South Carolina,South Carolina,South Carolina Gamecocks,South Carolina
FOOT,South Florida,South Florida,South Florida Bulls,South Florida
SOCC,Southampton,Southampton,Southampton,Southampton
SOCC,Spezia,Spezia,Spezia,Spezia
SOCC,Sporting Kansas City,Sporting KC,Sporting Kansas City,Sporting Kansas City
BASE,St. Louis Cardinals,STL Cardinals,St. Louis Cardinals,St. Louis Cardinals
FOOT,Stanford,Stanford,Stanford Cardinal,Stanford
TABL,Stanislav Hudec,,,Stanislav Hudec
TABL,Stanislav Mazanek,,,Stanislav Mazanek
TABL,Stanislav Pinc,,,Stanislav Pinc
TABL,Svatoslav Stempen,,,Svatoslav Stempen
ESPT,T1,,,T1
TABL,Tadeas Zika,,,Tadeas Zika
FOOT,Tampa Bay Buccaneers,TB Buccaneers,Tampa Bay Buccaneers,Tampa Bay Buccaneers
BASE,Tampa Bay Rays,TB Rays,Tampa Bay Rays,Tampa Bay Rays
FOOT,TCU,TCU,TCU Horned Frogs,TCU
ESPT,Team WE Academy,,,Team WE Academy
FOOT,Temple,Temple,Temple Owls,Temple
FOOT,Tennessee,Tennessee,Tennessee Volunteers,Tennessee
FOOT,Tennessee Titans,TEN Titans,Tennessee Titans,Tennessee Titans
FOOT,Texas,Texas,Texas Longhorns,Texas
FOOT,Texas A&M ,Texas A&M,Texas A&M Aggies,Texas A&M 
BASE,Texas Rangers,TEX Rangers,Texas Rangers,Texas Rangers
FOOT,Texas State,Texas ST,Texas State Bobcats,Texas State
FOOT,Texas Tech,Texas Tech,Texas Tech Red Raiders,Texas Tech
ESPT,ThunderTalk Young,,,ThunderTalk Young
TABL,Tibor Kolenic,,,Tibor Kolenic
TABL,Tiep Vu Duy,,,Tiep Vu Duy
FOOT,Toledo,Toledo,Toledo Rockets,Toledo
TABL,Tomas Andrle,,,Tomas Andrle
TABL,Tomas Bartik,,,Tomas Bartik
TABL,Tomas Demek,,,Tomas Demek
TABL,Tomas Dousa,,,Tomas Dousa
TABL,Tomas Navrat,,,Tomas Navrat
TABL,Tomas Postelt,,,Tomas Postelt
TABL,Tomas Prosa,,,Tomas Prosa
TABL,Tomas Tecl,,,Tomas Tecl
TABL,Tomas Turek,,,Tomas Turek
TABL,Tomas Varnuska,,,Tomas Varnuska
TABL,Tomas Zahradnik,,,Tomas Zahradnik
ESPT,Top Esports,,,Top Esports
SOCC,Torino,Torino,Torino,Torino
FOOT,Toronto Argonauts,TOR Argonauts,,Toronto Argonauts
BASE,Toronto Blue Jays,TOR Blue Jays,Toronto Blue Jays,Toronto Blue Jays
SOCC,Toronto FC,Toronto FC,Toronto FC,Toronto FC
SOCC,Tottenham Hotspur,Tottenham,Tottenham Hotspur,Tottenham Hotspur
FOOT,Tulane,Tulane,Tulane Green Wave,Tulane
FOOT,UCLA,UCLA,UCLA Bruins,UCLA
SOCC,Udinese,Udinese,Udinese,Udinese
FOOT,UL Monroe,ULM,UL Monroe Warhawks,UL Monroe
ESPT,UP Academy,,,UP Academy
FOOT,USC,USC,USC Trojans,USC
FOOT,Utah,Utah,Utah Utes,Utah
FOOT,Utah State,Utah ST,Utah State Aggies,Utah State
FOOT,UTEP,UTEP,UTEP Miners,UTEP
FOOT,UTSA,UTSA,UTSA Roadrunners,UTSA
TABL,Vaclav Hruska Snr,,,Vaclav Hruska Snr
TABL,Vaclav Pech,,,Vaclav Pech
TABL,Vaclav Pulkrabek,,,Vaclav Pulkrabek
TABL,Vaclav Zacek,,,Vaclav Zacek
SOCC,Valencia,Valencia,Valencia,Valencia
SOCC,Real Valladolid,Valladolid,Real Valladolid,Valladolid
SOCC,Rayo Vallecano,Vallecano,Rayo Vallecano,Vallecano
SOCC,Vancouver Whitecaps,Vancouver Whitecaps,Vancouver Whitecaps,Vancouver Whitecaps
FOOT,Vanderbilt,Vanderbilt,Vanderbilt Commodores,Vanderbilt
TABL,Vasil Stempak,,,Vasil Stempak
HCKY,Vegas Golden Knights,VGK Golden Knights,Vegas Golden Knights,Vegas Golden Knights
SOCC,Hellas Verona,Verona,Hellas Verona,Verona
SOCC,Villarreal,Villarreal,Villarreal,Villarreal
FOOT,Virginia,Virginia,Virginia Cavaliers,Virginia
FOOT,Virginia Tech ,Virginia Tech,Virginia Tech Hokies,Virginia Tech 
TABL,Vit Salanda,,,Vit Salanda
TABL,Vladimir Cermak,,,Vladimir Cermak
TABL,Vladimir Havlicek,,,Vladimir Havlicek
TABL,Vladimir Kubat,,,Vladimir Kubat
TABL,Vladimir Milata Jnr,,,Vladimir Milata Jnr
TABL,Vladimir Postelt,,,Vladimir Postelt
TABL,Vlastimil Svatos,,,Vlastimil Svatos
FOOT,Washington,Washington,Washington Huskies,Washington
FOOT,Washington Commanders,WAS Commanders,Washington Commanders,Washington Commanders
BASK,Washington Mystics,WAS Mystics,Washington Mystics,Washington Mystics
BASE,Washington Nationals,WAS Nationals,Washington Nationals,Washington Nationals
FOOT,Washington State,Washington ST,Washington State Cougars,Washington State
ESPT,Weibo Gaming,,,Weibo Gaming
SOCC,West Ham United,West Ham,West Ham United,West Ham United
FOOT,West Virginia,West Virginia,West Virginia Mountaineers,West Virginia
FOOT,Western Kentucky,Western Kentucky,Western Kentucky Hilltoppers,Western Kentucky
FOOT,Winnipeg Blue Bombers,WPG Blue Bombers,,Winnipeg Blue Bombers
FOOT,Wisconsin ,Wisconsin,Wisconsin Badgers,Wisconsin 
SOCC,Wolverhampton Wanderers,Wolves,Wolverhampton Wanderers,Wolverhampton Wanderers
FOOT,Wyoming,Wyoming,Wyoming Cowboys,Wyoming
TABL,Zbynek Pagac,,,Zbynek Pagac
TABL,Zbynek Zientek,,,Zbynek Zientek
TABL,Zdenek Kasinski,,,Zdenek Kasinski
TABL,Zdenek Nevrtal,,,Zdenek Nevrtal
TABL,Zdenek Zikmunda,,,Zdenek Zikmunda
TABL,Petr Zivny,,,Petr Zivny
TABL,Radim Jaros,,,Radim Jaros
TABL,Michal Henzel,,,Michal Henzel
TABL,Petr Kalias,,,Petr Kalias
TABL,Stepan Waldhauser,,,Stepan Waldhauser
TABL,Josef Fuchs,,,Josef Fuchs
TABL,Matej Varcl,,,Matej Varcl
TABL,Tomas Beran,,,Tomas Beran
TABL,Martin Mastera,,,Martin Mastera
TABL,Josef Toth,,,Josef Toth
TABL,Tomas Jurdin,,,Tomas Jurdin
TABL,Jan Manhal Snr,,,Jan Manhal Snr
TABL,Tomas Brezna,,,Tomas Brezna
TABL,Jaroslav Kasan,,,Jaroslav Kasan
TABL,Pavel Fojt,,,Pavel Fojt
TABL,Jakub Vrabec,,,Jakub Vrabec
TABL,Jindrich Vrba,,,Jindrich Vrba
TABL,Vojtech Molin,,,Vojtech Molin
ESPT,BRION,,,BRION
TABL,Tomas Vrastil,,,Tomas Vrastil
TABL,Tomas Suta,,,Tomas Suta
TABL,Jaroslav Kepka,,,Jaroslav Kepka
TABL,Miloslav Lubas,,,Miloslav Lubas
SOCC,Luton Town,,,Luton Town
TABL,Pavel Kulhanek,,,Pavel Kulhanek
TABL,Daniel Vrbecky,,,Daniel Vrbecky
TABL,Julius Lazar,,,Julius Lazar
SOCC,Burnley,,,Burnley
TABL,Josef Musil,,,Josef Musil
TABL,Radim Sindelar,,,Radim Sindelar
TABL,Patrik Sturma,,,Patrik Sturma
SOCC,Sheffield United,,,Sheffield United
TABL,Jan Kabelka,,,Jan Kabelka
FOOT,Montreal Alouettes,MTL Alouettes,,Montreal Alouettes
TABL,Michal Vedmoch,,,Michal Vedmoch
TABL,Matous Klimenta,,,Matous Klimenta
TABL,Milan Bela,,,Milan Bela
TABL,Radim Pokorny,,,Radim Pokorny
TABL,Radim Bako,,,Radim Bako
TABL,Romualdo Manna,,,Romualdo Manna
TABL,Giacomo Allegranza,,,Giacomo Allegranza
TABL,Oleksandr Tymofieiev,,,Oleksandr Tymofieiev
TABL,Alexandru Petrescu,,,Alexandru Petrescu
TABL,Frantisek Onderka,,,Frantisek Onderka
TABL,Miguel Nunez,,,Miguel Nunez
TABL,Martin Pytlik,,,Martin Pytlik
BASK,,CON Sun,Connecticut Sun,Connecticut Sun
BASK,,,Las Vegas Aces,Las Vegas Aces
FOOT,,,Alabama A&M Bulldogs,Alabama A&M Bulldogs
FOOT,,,Western Carolina Catamounts,Western Carolina Catamounts
FOOT,,,Idaho State Bengals,Idaho State Bengals
FOOT,,,Incarnate Word Cardinals,Incarnate Word Cardinals
FOOT,,,Maine Black Bears,Maine Black Bears
FOOT,,,UT Martin Skyhawks,UT Martin Skyhawks
FOOT,,,Western Illinois Leathernecks,Western Illinois Leathernecks
FOOT,,,Tennessee State Tigers,Tennessee State Tigers
FOOT,,,Southeast Missouri State Redhawks,Southeast Missouri State Redhawks
FOOT,,,Portland State Vikings,Portland State Vikings
FOOT,,,Long Island University Sharks,Long Island University Sharks
FOOT,,,SE Louisiana Lions,SE Louisiana Lions
FOOT,,,Missouri State Bears,Missouri State Bears
FOOT,,,Northwestern State Demons,Northwestern State Demons
FOOT,,,Alcorn State Braves,Alcorn State Braves
FOOT,,,Robert Morris Colonials,Robert Morris Colonials
FOOT,,,North Carolina A&T Aggies,North Carolina A&T Aggies
FOOT,,,Mercer Bears,Mercer Bears
FOOT,,,Towson Tigers,Towson Tigers
FOOT,,,Albany Great Danes,Albany Great Danes
FOOT,,,Monmouth Hawks,Monmouth Hawks
FOOT,,,Bethune-Cookman Wildcats,Bethune-Cookman Wildcats
FOOT,,,Wofford Terriers,Wofford Terriers
FOOT,,,Gardner-Webb Runnin' Bulldogs,Gardner-Webb Runnin' Bulldogs
FOOT,,,Bucknell Bison,Bucknell Bison
FOOT,,,The Citadel Bulldogs,The Citadel Bulldogs
FOOT,,,Elon Phoenix,Elon Phoenix
FOOT,,,South Dakota Coyotes,South Dakota Coyotes
FOOT,,,Southern Utah Thunderbirds,Southern Utah Thunderbirds
FOOT,,,Bryant Bulldogs,Bryant Bulldogs
FOOT,,,Colgate Raiders,Colgate Raiders
FOOT,,,Rhode Island Rams,Rhode Island Rams
FOOT,,,Central Arkansas Bears,Central Arkansas Bears
FOOT,,,Arkansas-Pine Bluff Golden Lions,Arkansas-Pine Bluff Golden Lions
FOOT,,,St. Francis (PA) Red Flash,St. Francis (PA) Red Flash
FOOT,,,Northern Arizona Lumberjacks,Northern Arizona Lumberjacks
FOOT,,,Howard Bison,Howard Bison
FOOT,,,Northern Iowa Panthers,Northern Iowa Panthers
FOOT,,,Stephen F. Austin Lumberjacks,Stephen F. Austin Lumberjacks
FOOT,,,South Carolina State Bulldogs,South Carolina State Bulldogs
FOOT,,,Eastern Kentucky Colonels,Eastern Kentucky Colonels
FOOT,,,Louisiana Ragin' Cajuns,Louisiana Ragin' Cajuns
FOOT,,,Southern Miss Golden Eagles,Southern Miss Golden Eagles
FOOT,,,Air Force Falcons,Air Force Falcons
FOOT,,,UAB Blazers,UAB Blazers
FOOT,,,Maryland Terrapins,Maryland Terrapins
FOOT,,,Marshall Thundering Herd,Marshall Thundering Herd
FOOT,,,Florida Atlantic Owls,Florida Atlantic Owls
FOOT,,,Memphis Tigers,Memphis Tigers
FOOT,,,Pittsburgh Panthers,Pittsburgh Panthers
FOOT,,,Appalachian State Mountaineers,Appalachian State Mountaineers
FOOT,,,James Madison Dukes,James Madison Dukes
FOOT,,,Georgia Southern Eagles,Georgia Southern Eagles
FOOT,,Wake Forest,Wake Forest Demon Deacons,Wake Forest Demon Deacons
FOOT,,,Missouri Tigers,Missouri Tigers
FOOT,,,Arizona State Sun Devils,Arizona State Sun Devils
FOOT,,,UNLV Rebels,UNLV Rebels
FOOT,,,Syracuse Orange,Syracuse Orange
FOOT,,,Georgia State Panthers,Georgia State Panthers
FOOT,,,Oklahoma State Cowboys,Oklahoma State Cowboys
FOOT,,,Tulsa Golden Hurricane,Tulsa Golden Hurricane
FOOT,,,Western Michigan Broncos,Western Michigan Broncos
FOOT,,,Arizona Wildcats,Arizona Wildcats
FOOT,,,Eastern Michigan Eagles,Eastern Michigan Eagles
FOOT,,,Iowa State Cyclones,Iowa State Cyclones
FOOT,,,Troy Trojans,Troy Trojans
FOOT,,,Charlotte 49ers,Charlotte 49ers
FOOT,,,Cincinnati Bearcats,Cincinnati Bearcats
