team,R,H,E,1,2,3,4,5,6,7,8,9,10,11,12,13,14,game_date,Outcome,home_away
Pittsburgh Pirates,7,9,0,0,0,0,0,2,0,5,0,0,,,,,,2023-07-19,Win,Home
Pittsburgh Pirates,1,5,1,0,0,0,0,0,1,0,0,0,,,,,,2023-07-18,Loss,Home
Pittsburgh Pirates,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,2023-07-17,Loss,Home
Pittsburgh Pirates,4,8,1,0,1,0,0,0,1,0,1,0,1,,,,,2023-07-16,Loss,Home
Pittsburgh Pirates,1,7,1,0,1,0,0,0,0,0,0,0,,,,,,2023-07-15,Loss,Home
Pittsburgh Pirates,4,8,2,0,0,0,0,2,2,0,0,0,,,,,,2023-07-14,Loss,Home
Pittsburgh Pirates,4,6,2,0,2,0,0,1,0,0,0,1,,,,,,2023-07-09,Win,Away
Pittsburgh Pirates,2,4,1,0,0,0,0,0,1,0,0,0,1,,,,,2023-07-08,Loss,Away
Pittsburgh Pirates,3,6,2,0,0,0,0,1,0.0,0.0,2.0,0.0,,,,,,2023-07-07,Loss,Away
Pittsburgh Pirates,2,4,0,0,2,0,0,0,0.0,0.0,0.0,0.0,,,,,,2023-07-06,Loss,Away
Pittsburgh Pirates,4,9,0,1,0,0,3,0,0.0,0.0,0.0,0.0,,,,,,2023-07-05,Loss,Away
Pittsburgh Pirates,9,12,1,2,0,0,3,0,1.0,0.0,0.0,3.0,,,,,,2023-07-04,Win,Away
Pittsburgh Pirates,2,7,1,0,1,0,0,0,1.0,0.0,0.0,0.0,,,,,,2023-07-03,Loss,Away
Pittsburgh Pirates,3,7,2,0,2,0,0,0,0.0,0.0,1.0,0.0,,,,,,2023-07-02,Loss,Home
Pittsburgh Pirates,8,7,0,0,0,0,0,0,2.0,0.0,6.0,0.0,,,,,,2023-07-01,Loss,Home
Pittsburgh Pirates,8,11,0,0,0,0,3,0,0.0,1.0,1.0,3.0,,,,,,2023-06-30,Win,Home
Pittsburgh Pirates,5,10,0,0,0,0,1,0,1.0,3.0,0.0,0.0,,,,,,2023-06-29,Win,Home
Pittsburgh Pirates,7,9,0,2,0,0,0,0,0.0,5.0,0.0,0.0,,,,,,2023-06-28,Win,Home
Pittsburgh Pirates,9,16,0,0,3,2,1,0,2.0,1.0,0.0,0.0,,,,,,2023-06-27,Win,Home
Pittsburgh Pirates,0,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,2023-06-25,Loss,Away
Pittsburgh Pirates,3,6,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,0.0,,,,2023-06-24,Loss,Away
Pittsburgh Pirates,3,7,1,0,0,0,0,0,0.0,0.0,0.0,3.0,,,,,,2023-06-23,Win,Away
Pittsburgh Pirates,4,5,0,0,0,0,2,0,0.0,0.0,2.0,0.0,,,,,,2023-06-22,Loss,Away
Pittsburgh Pirates,3,2,1,0,1,0,0,0,0.0,2.0,0.0,0.0,,,,,,2023-06-21,Loss,Home
Pittsburgh Pirates,0,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,2023-06-20,Loss,Home
Pittsburgh Pirates,0,5,1,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,2023-06-19,Loss,Home
Pittsburgh Pirates,2,4,1,0,0,2,0,0,0.0,0.0,0.0,0.0,,,,,,2023-06-18,Loss,Away
Pittsburgh Pirates,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,2023-06-17,Loss,Away
Pittsburgh Pirates,4,4,1,0,1,0,0,0,1.0,2.0,0.0,0.0,,,,,,2023-06-16,Loss,Away
Pittsburgh Pirates,2,6,1,0,0,2,0,0,0.0,0.0,0.0,0.0,,,,,,2023-06-15,Loss,Away
Pittsburgh Pirates,6,12,0,3,0,1,1,0,0.0,1.0,0.0,0.0,,,,,,2023-06-14,Loss,Away
Pittsburgh Pirates,3,7,0,1,1,0,0,0,1.0,0.0,0.0,0.0,,,,,,2023-06-13,Loss,Away
Pittsburgh Pirates,2,8,0,0,0,0,2,0,0.0,0.0,0.0,0.0,,,,,,2023-06-11,Win,Home
Pittsburgh Pirates,1,3,0,0,0,0,1,0,0.0,0.0,0.0,0.0,,,,,,2023-06-10,Loss,Home
Pittsburgh Pirates,14,17,1,0,2,5,3,0,2.0,0.0,2.0,0.0,,,,,,2023-06-09,Win,Home
Pittsburgh Pirates,5,9,0,0,1,0,2,0,0.0,1.0,0.0,1.0,,,,,,2023-06-07,Loss,Home
Pittsburgh Pirates,2,6,1,1,0,0,0,1,0.0,0.0,0.0,0.0,,,,,,2023-06-06,Loss,Home
Pittsburgh Pirates,5,6,1,0,0,0,0,1,3.0,0.0,1.0,0.0,,,,,,2023-06-05,Win,Home
Pittsburgh Pirates,2,10,0,2,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,2023-06-04,Win,Home
Pittsburgh Pirates,4,8,0,0,0,0,0,1,3.0,0.0,0.0,0.0,,,,,,2023-06-03,Win,Home
Pittsburgh Pirates,7,11,0,0,0,0,0,0,1.0,6.0,0.0,0.0,,,,,,2023-06-02,Win,Home
Pittsburgh Pirates,9,14,1,0,0,4,2,0,2.0,0.0,0.0,1.0,,,,,,2023-05-31,Win,Away
Pittsburgh Pirates,2,6,0,1,0,0,0,1,0.0,0.0,0.0,0.0,,,,,,2023-05-30,Win,Away
Pittsburgh Pirates,4,9,2,0,0,1,0,0,0.0,2.0,0.0,1.0,,,,,,2023-05-29,Loss,Away
Pittsburgh Pirates,3,7,0,0,0,0,0,1,0.0,0.0,2.0,0.0,0.0,,,,,2023-05-28,Loss,Away
Pittsburgh Pirates,0,2,2,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,2023-05-27,Loss,Away
Pittsburgh Pirates,11,15,0,1,0,0,1,5,1.0,2.0,1.0,0.0,,,,,,2023-05-26,Win,Away
Pittsburgh Pirates,2,8,2,0,2,0,0,0,0.0,0.0,0.0,0.0,,,,,,2023-05-24,Loss,Home
Pittsburgh Pirates,1,6,0,0,0,1,0,0,0.0,0.0,0.0,0.0,,,,,,2023-05-23,Loss,Home
Pittsburgh Pirates,6,11,0,0,1,0,0,0,0.0,5.0,0.0,0.0,,,,,,2023-05-22,Win,Home
Pittsburgh Pirates,3,3,3,0,1,0,0,2,0.0,0.0,0.0,0.0,,,,,,2023-05-21,Loss,Home
Pittsburgh Pirates,3,7,0,0,0,3,0,0,0.0,0.0,0.0,0.0,,,,,,2023-05-20,Loss,Home
Pittsburgh Pirates,13,17,1,0,1,0,7,3,0.0,0.0,2.0,0.0,,,,,,2023-05-19,Win,Home
Pittsburgh Pirates,8,14,0,0,2,0,1,1,0.0,4.0,0.0,0.0,,,,,,2023-05-17,Win,Away
Pittsburgh Pirates,0,5,1,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,2023-05-16,Loss,Away
Pittsburgh Pirates,4,7,0,1,0,3,0,0,0.0,0.0,0.0,0.0,,,,,,2023-05-14,Win,Away
Pittsburgh Pirates,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,2023-05-13,Loss,Away
Pittsburgh Pirates,3,7,0,0,0,1,0,0,0.0,1.0,0.0,1.0,,,,,,2023-05-12,Loss,Away
Pittsburgh Pirates,3,6,1,0,1,2,0,0,0.0,0.0,0.0,0.0,,,,,,2023-05-10,Loss,Home
Pittsburgh Pirates,1,4,1,0,0,1,0,0,0.0,0.0,0.0,0.0,,,,,,2023-05-09,Loss,Home
Pittsburgh Pirates,2,7,0,0,0,0,0,0,0.0,2.0,0.0,0.0,,,,,,2023-05-08,Win,Home
Pittsburgh Pirates,1,8,1,0,0,0,0,0,0.0,0.0,1.0,0.0,,,,,,2023-05-07,Loss,Home
Pittsburgh Pirates,2,5,1,0,0,0,0,0,1.0,1.0,0.0,0.0,,,,,,2023-05-06,Loss,Home
Pittsburgh Pirates,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,2023-05-05,Loss,Home
Pittsburgh Pirates,2,4,0,0,0,0,0,0,0.0,0.0,0.0,2.0,,,,,,2023-05-04,Loss,Away
Pittsburgh Pirates,1,7,3,0,0,1,0,0,0.0,0.0,0.0,0.0,,,,,,2023-05-03,Loss,Away
Pittsburgh Pirates,1,5,0,0,0,0,0,1,0.0,0.0,0.0,0.0,,,,,,2023-05-02,Loss,Away
Pittsburgh Pirates,2,6,0,0,0,1,0,0,0.0,0.0,0.0,1.0,,,,,,2023-04-30,Loss,Away
Pittsburgh Pirates,6,10,1,0,1,0,1,0,2,0,2,0,,,,,,2023-04-29,Win,Away
Pittsburgh Pirates,16,17,0,1,1,2,4,0,4,1,0,3,,,,,,2023-04-29,Win,Away
Pittsburgh Pirates,6,8,0,3,0,0,0,0,3.0,0.0,0.0,0.0,,,,,,2023-04-27,Win,Home
Pittsburgh Pirates,8,12,0,0,0,0,0,2,1.0,5.0,0.0,0.0,,,,,,2023-04-26,Win,Home
Pittsburgh Pirates,7,12,3,1,2,0,4,0,0.0,0.0,0.0,0.0,,,,,,2023-04-25,Loss,Home
Pittsburgh Pirates,2,6,0,1,0,0,0,0,0.0,0.0,1.0,0.0,,,,,,2023-04-23,Win,Home
Pittsburgh Pirates,2,8,1,1,0,0,1,0,0.0,0.0,0.0,0.0,,,,,,2023-04-22,Win,Home
Pittsburgh Pirates,4,6,2,0,2,0,0,0,1.0,1.0,0.0,0.0,,,,,,2023-04-21,Win,Home
Pittsburgh Pirates,4,4,1,4,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,2023-04-20,Win,Home
Pittsburgh Pirates,14,18,2,5,4,0,0,0,3.0,0.0,0.0,2.0,,,,,,2023-04-19,Win,Away
Pittsburgh Pirates,5,9,1,0,1,0,4,0,0.0,0.0,0.0,0.0,,,,,,2023-04-18,Win,Away
Pittsburgh Pirates,14,16,0,1,6,2,0,4,0.0,0.0,0.0,1.0,,,,,,2023-04-17,Win,Away
Pittsburgh Pirates,4,8,0,1,1,0,0,0,1.0,0.0,0.0,0.0,1.0,,,,,2023-04-16,Loss,Away
Pittsburgh Pirates,6,10,0,1,0,1,0,0,0.0,0.0,1.0,0.0,3.0,,,,,2023-04-15,Win,Away
Pittsburgh Pirates,0,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,2023-04-14,Loss,Away
Pittsburgh Pirates,5,9,1,0,0,0,0,0,1.0,1.0,2.0,1.0,,,,,,2023-04-13,Win,Away
Pittsburgh Pirates,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,2023-04-12,Loss,Home
Pittsburgh Pirates,7,10,1,0,2,0,0,0,2.0,0.0,0.0,3.0,,,,,,2023-04-11,Win,Home
Pittsburgh Pirates,2,3,1,0,1,0,1,0,0.0,0.0,0.0,0.0,,,,,,2023-04-10,Loss,Home
Pittsburgh Pirates,1,2,0,0,1,0,0,0,0.0,0.0,0.0,0.0,,,,,,2023-04-09,Win,Home
Pittsburgh Pirates,5,10,0,1,0,1,0,2,0.0,0.0,0.0,1.0,,,,,,2023-04-08,Loss,Home
Pittsburgh Pirates,13,19,0,0,2,1,4,5,0.0,0.0,1.0,0.0,,,,,,2023-04-07,Win,Home
Pittsburgh Pirates,4,9,0,0,0,0,1,0,1.0,2.0,0.0,0.0,,,,,,2023-04-05,Win,Away
Pittsburgh Pirates,4,5,2,0,2,1,0,0,0.0,1.0,0.0,0.0,,,,,,2023-04-04,Win,Away
Pittsburgh Pirates,7,9,1,3,1,1,2,0,0.0,0.0,0.0,0.0,,,,,,2023-04-03,Win,Away
Pittsburgh Pirates,1,6,0,0,0,0,1,0,0.0,0.0,0.0,0.0,,,,,,2023-04-02,Loss,Away
Pittsburgh Pirates,2,7,0,1,0,1,0,0,0.0,0.0,0.0,0.0,,,,,,2023-04-01,Loss,Away
Pittsburgh Pirates,5,6,1,0,0,1,3,0,0.0,0.0,1.0,0.0,,,,,,2023-03-30,Win,Away
